Price,Close,High,Low,Open,Volume
Ticker,XLE,XLE,XLE,XLE,XLE
Date,,,,,
1999-09-17,7.276947021484375,7.28480549558965,7.159069909905254,7.214079228642177,821800
1999-09-20,7.166929721832275,7.2848068554150425,7.139425536972913,7.2848068554150425,463600
1999-09-21,6.931173801422119,7.064767854283996,6.868306011840058,7.033333959492966,407000
1999-09-22,6.939032554626465,7.041192716812358,6.935103797262504,6.962607976669363,53800
1999-09-23,6.860447883605957,7.025475839568987,6.860447883605957,6.994041943195076,261200
1999-09-24,6.7897233963012695,6.852591205526282,6.628625114805497,6.852591205526282,374400
1999-09-27,6.8525872230529785,6.899738052569398,6.805436393536559,6.836870279880839,293000
1999-09-28,6.74257230758667,6.797581638767447,6.6011197416932434,6.797581638767447,1388400
1999-09-29,6.832944393157959,6.931174849591696,6.734712977437736,6.734712977437736,735600
1999-09-30,6.899740219116211,6.915457167223538,6.813297004525917,6.852589374794233,1219200
1999-10-01,6.876162528991699,6.915454886300224,6.852587114606585,6.915454886300224,170200
1999-10-04,6.797577857971191,6.946888816701194,6.785790630346069,6.946888816701194,136400
1999-10-05,6.648271560668945,6.734714807911685,6.569686790448272,6.734714807911685,132400
1999-10-06,6.766148567199707,6.766148567199706,6.67184684500877,6.695422275556504,138400
1999-10-07,6.640410423278809,6.695419740394729,6.608976527783998,6.695419740394729,441000
1999-10-08,6.565754413604736,6.585400115691016,6.45966455262293,6.585400115691016,730800
1999-10-11,6.663984775543213,6.671843248155882,6.569683104191186,6.569683104191186,368600
1999-10-12,6.699347019195557,6.758285072158585,6.675771606153143,6.718992717087896,91400
1999-10-13,6.74257230758667,6.789723162884479,6.726855355820733,6.726855355820733,44400
1999-10-14,6.718996524810791,6.781864328551711,6.695421098407946,6.734713475746021,1125600
1999-10-15,6.620763778686523,6.687560317490733,6.5696832261131055,6.616834062664156,556200
1999-10-18,6.632554054260254,6.640412530627861,6.530393861481364,6.577544719687006,487000
1999-10-19,6.652198314666748,6.707207629309589,6.652198314666748,6.656127071783792,527600
1999-10-20,6.7897233963012695,6.7897233963012695,6.667917495571129,6.687563206310625,321400
1999-10-21,6.8211565017700195,6.8211565017700195,6.758288699910389,6.805439551305112,48200
1999-10-22,6.93510627746582,6.966540184764732,6.876167221636999,6.891884175286455,598000
1999-10-25,6.8211565017700195,6.899741254094559,6.805439551305112,6.884024303629651,109200
1999-10-26,6.663984775543213,6.789720337345915,6.663984775543213,6.758286446895239,33600
1999-10-27,6.718996524810791,6.746501668590722,6.663987196537486,6.691492340317417,147600
1999-10-28,6.750428199768066,6.825084171725269,6.750428199768066,6.809367225974936,177600
1999-10-29,6.797577857971191,6.8132948009954015,6.726851614362242,6.774002443434875,197000
1999-11-01,6.793649196624756,6.836870310901203,6.774002537927399,6.8054364244143,460800
1999-11-02,6.730782985687256,6.789721056885118,6.718994795875898,6.742570216212305,88000
1999-11-03,6.695417404174805,6.734709759833107,6.663983519648162,6.73078100391029,640400
1999-11-04,6.589329242706299,6.722923266525112,6.557895354748931,6.687559662930008,48200
1999-11-05,6.428234577178955,6.6246965141343015,6.381083712309671,6.6089795591778735,232000
1999-11-08,6.671847343444824,6.6757770618063885,6.483243884972886,6.483243884972886,93400
1999-11-09,6.813297271728516,6.817226988552653,6.754359193657811,6.789721848642949,230600
1999-11-10,6.9626078605651855,6.966537577149995,6.876164647849365,6.876164647849365,517400
1999-11-11,6.9626078605651855,6.970466334448442,6.919386733850456,6.970466334448442,435200
1999-11-12,7.0097575187683105,7.041191408987002,6.868305012784196,6.868305012784196,274200
1999-11-15,7.049051761627197,7.056910236277841,7.00975938837398,7.03726452929446,53400
1999-11-16,7.166929721832275,7.1669297218322745,7.080486490538245,7.119778868399168,156200
1999-11-17,7.292665958404541,7.339816815894225,7.190505767176891,7.190505767176891,113800
1999-11-18,7.292665958404541,7.3319583396459445,7.2337278661857605,7.324099863397664,133000
1999-11-19,7.127634525299072,7.229794667337536,7.127634525299071,7.206219249944045,358800
1999-11-22,7.0136895179748535,7.182646253260594,7.0136895179748535,7.163000545121409,719800
1999-11-23,6.868305683135986,7.049050569534302,6.852588736492654,7.041192096212636,718600
1999-11-24,6.954749584197998,6.954749584197998,6.844730946707861,6.860447894920737,47000
1999-11-26,6.8525872230529785,6.931171938913677,6.8525872230529785,6.899738052569398,14800
1999-11-29,6.797577857971191,6.821153272507507,6.777932158833964,6.817224516394491,59000
1999-11-30,6.785796642303467,6.85259322969256,6.770079685354632,6.793655120777886,28600
1999-12-01,6.919387340545654,6.919387340545653,6.7740050813150425,6.7740050813150425,43400
1999-12-02,6.8525872230529785,6.915454995741538,6.821153336708699,6.915454995741538,107600
1999-12-03,6.8211565017700195,6.919387921818958,6.8132980265375656,6.852590402699835,497000
1999-12-06,6.817225933074951,6.868305528875396,6.774003851133401,6.836871636294731,297200
1999-12-07,6.687562942504883,6.805440080151856,6.687562942504884,6.77400617677933,252000
1999-12-08,6.75828742980957,6.75828742980957,6.577542533430942,6.6246933759644975,135800
1999-12-09,6.813297271728516,6.8368726948140806,6.734712528109962,6.797580323004804,98200
1999-12-10,6.6168365478515625,6.789723013472387,6.6168365478515625,6.789723013472387,98000
1999-12-13,6.656126976013184,6.726853236679203,6.585400715347164,6.6168346089765055,89800
1999-12-14,6.640410423278809,6.695419740394729,6.593259580036593,6.608976527783998,1014600
1999-12-15,6.774003505706787,6.852588233151182,6.703277251006832,6.703277251006832,436200
1999-12-16,6.840804100036621,6.884025240051147,6.793653242228051,6.797582000735436,124200
1999-12-17,6.809747219085693,6.872800434077227,6.746694004094159,6.857037130329344,1911800
1999-12-20,6.659998893737793,6.817632003648747,6.652117238242245,6.778223726171008,1562600
1999-12-21,6.679697036743164,6.762453858145376,6.675755731758898,6.699400675318846,1451600
1999-12-22,6.6442341804504395,6.699405757275058,6.636352526618351,6.659997488114616,1210600
1999-12-23,6.833389759063721,6.833389759063721,6.691520075484543,6.691520075484543,288800
1999-12-27,6.786101818084717,7.061959615567836,6.786101818084717,6.872799983007983,2502400
1999-12-28,6.793983459472656,6.857036670233423,6.7388119000569855,6.7388119000569855,112200
1999-12-29,6.864918231964111,6.912208139417365,6.79004302622094,6.817628324510856,94800
1999-12-30,6.809747219085693,6.84127382658146,6.778220611589926,6.825510522833577,116400
1999-12-31,6.833389759063721,6.872798004502381,6.762454917274131,6.809744811800524,69600
2000-01-03,6.699406147003174,6.888565849977381,6.652116221259622,6.888565849977381,760600
2000-01-04,6.573298454284668,6.636351676867735,6.526008537347368,6.636351676867735,1444400
2000-01-05,6.746694087982178,6.746694087982178,6.557534440655575,6.589061048543342,675600
2000-01-06,7.006790637969971,7.022553946491839,6.746696047359163,6.746696047359163,266200
